Timestamp;ObjectName;ID ;correct ;scene ;PlaceInOrder;condition 
250.56;ERPTagsA1 ERPFlashTag2D (4) ERPFlashTagFeedback;28CO38;1;1;1;gamified
254.52;ERPTagsA2 ERPFlashTag2D (4) ERPFlashTagFeedback;28CO38;0;1;1;gamified
256.83;ERPTagsA2 ERPFlashTag2D (2) ERPFlashTagFeedback;28CO38;1;1;1;gamified
261.48;ERPTagsA3 ERPFlashTag2D (4) ERPFlashTagFeedback;28CO38;0;1;1;gamified
262.61;ERPTagsA3 ERPFlashTag2D (3) ERPFlashTagFeedback;28CO38;1;1;1;gamified
266.17;ERPTagsA4 ERPFlashTag2D (3) ERPFlashTagFeedback;28CO38;0;1;1;gamified
268.03;ERPTagsA4 ERPFlashTag2D (1) ERPFlashTagFeedback;28CO38;1;1;1;gamified
273.76;ERPTagsA5 ERPFlashTag2D (3) ERPFlashTagFeedback;28CO38;1;1;1;gamified
281.52;ERPTagsA6 ERPFlashTag2D (2) ERPFlashTagFeedback;28CO38;1;1;1;gamified
287.24;ERPTagsA7 ERPFlashTag2D (4) ERPFlashTagFeedback;28CO38;1;1;1;gamified
293.96;ERPTagsA8 ERPFlashTag2D (1) ERPFlashTagFeedback;28CO38;1;1;1;gamified
