Timestamp;ObjectName;ID;correct;scene;PlaceInOrder;condition
124.28;ERPTags1Standard ERPFlashTag2D (1) ERPFlashTagFeedback;17HE69;0;1;2;standard
128.12;ERPTags1Standard ERPFlashTag2D (4) ERPFlashTagFeedback;17HE69;1;1;2;standard
133.60;ERPTags2Standard ERPFlashTag2D (3) ERPFlashTagFeedback;17HE69;1;1;2;standard
137.13;ERPTags3Standard ERPFlashTag2D (3) ERPFlashTagFeedback;17HE69;0;1;2;standard
139.54;ERPTags3Standard ERPFlashTag2D (1) ERPFlashTagFeedback;17HE69;1;1;2;standard
144.17;ERPTags4Standard ERPFlashTag2D (2) ERPFlashTagFeedback;17HE69;0;1;2;standard
147.72;ERPTags5Standard ERPFlashTag2D (2) ERPFlashTagFeedback;17HE69;0;1;2;standard
149.07;ERPTags5Standard ERPFlashTag2D (1) ERPFlashTagFeedback;17HE69;1;1;2;standard
150.26;ERPTags5Standard ERPFlashTag2D (3) ERPFlashTagFeedback;17HE69;1;1;2;standard
154.72;ERPTags6Standard ERPFlashTag2D (1) ERPFlashTagFeedback;17HE69;0;1;2;standard
156.34;ERPTags6Standard ERPFlashTag2D (4) ERPFlashTagFeedback;17HE69;1;1;2;standard
159.94;ERPTags7Standard ERPFlashTag2D (1) ERPFlashTagFeedback;17HE69;0;1;2;standard
161.59;ERPTags7Standard ERPFlashTag2D (2) ERPFlashTagFeedback;17HE69;1;1;2;standard
165.14;ERPTags8Standard ERPFlashTag2D (2) ERPFlashTagFeedback;17HE69;0;1;2;standard
166.31;ERPTags8Standard ERPFlashTag2D (1) ERPFlashTagFeedback;17HE69;1;1;2;standard
187.92;ERPTags1Standard2 ERPFlashTag2D (3) ERPFlashTagFeedback;17HE69;1;2;2;standard
192.97;ERPTags2Standard2 ERPFlashTag2D (1) ERPFlashTagFeedback;17HE69;1;2;2;standard
196.53;ERPTags3Standard2 ERPFlashTag2D (1) ERPFlashTagFeedback;17HE69;0;2;2;standard
198.26;ERPTags3Standard2 ERPFlashTag2D (2) ERPFlashTagFeedback;17HE69;1;2;2;standard
202.17;ERPTags4Standard2 ERPFlashTag2D (2) ERPFlashTagFeedback;17HE69;0;2;2;standard
203.59;ERPTags4Standard2 ERPFlashTag2D (4) ERPFlashTagFeedback;17HE69;1;2;2;standard
208.67;ERPTags5Standard2 ERPFlashTag2D (3) ERPFlashTagFeedback;17HE69;0;2;2;standard
209.56;ERPTags5Standard2 ERPFlashTag2D (2) ERPFlashTagFeedback;17HE69;1;2;2;standard
213.14;ERPTags6Standard2 ERPFlashTag2D (2) ERPFlashTagFeedback;17HE69;0;2;2;standard
214.91;ERPTags6Standard2 ERPFlashTag2D (3) ERPFlashTagFeedback;17HE69;1;2;2;standard
218.60;ERPTags7Standard2 ERPFlashTag2D (3) ERPFlashTagFeedback;17HE69;0;2;2;standard
221.26;ERPTags7Standard2 ERPFlashTag2D (4) ERPFlashTagFeedback;17HE69;1;2;2;standard
226.26;ERPTags8Standard2 ERPFlashTag2D (3) ERPFlashTagFeedback;17HE69;0;2;2;standard
228.06;ERPTags8Standard2 ERPFlashTag2D (1) ERPFlashTagFeedback;17HE69;1;2;2;standard
245.04;ERPTags1Standard3 ERPFlashTag2D (1) ERPFlashTagFeedback;17HE69;1;3;2;standard
248.63;ERPTags2Standard3 ERPFlashTag2D (2) ERPFlashTagFeedback;17HE69;0;3;2;standard
251.10;ERPTags2Standard3 ERPFlashTag2D (3) ERPFlashTagFeedback;17HE69;1;3;2;standard
254.65;ERPTags3Standard3 ERPFlashTag2D (3) ERPFlashTagFeedback;17HE69;0;3;2;standard
255.45;ERPTags3Standard3 ERPFlashTag2D (4) ERPFlashTagFeedback;17HE69;1;3;2;standard
261.77;ERPTags4Standard3 ERPFlashTag2D (2) ERPFlashTagFeedback;17HE69;1;3;2;standard
266.92;ERPTags5Standard3 ERPFlashTag2D (1) ERPFlashTagFeedback;17HE69;1;3;2;standard
270.44;ERPTags6Standard3 ERPFlashTag2D (1) ERPFlashTagFeedback;17HE69;0;3;2;standard
271.74;ERPTags6Standard3 ERPFlashTag2D (4) ERPFlashTagFeedback;17HE69;1;3;2;standard
275.60;ERPTags7Standard3 ERPFlashTag2D (1) ERPFlashTagFeedback;17HE69;0;3;2;standard
277.07;ERPTags7Standard3 ERPFlashTag2D (3) ERPFlashTagFeedback;17HE69;1;3;2;standard
280.61;ERPTags8Standard3 ERPFlashTag2D (3) ERPFlashTagFeedback;17HE69;0;3;2;standard
281.11;ERPTags8Standard3 ERPFlashTag2D (3) ERPFlashTagFeedback;17HE69;0;3;2;standard
282.20;ERPTags8Standard3 ERPFlashTag2D (2) ERPFlashTagFeedback;17HE69;1;3;2;standard
