Timestamp;ObjectName;ID;correct;scene ;PlaceInOrder;condition
141.94;ERPTags1Standard ERPFlashTag2D (4) ERPFlashTagFeedback;15JO96;1;1;1;standard
148.80;ERPTags2Standard ERPFlashTag2D (3) ERPFlashTagFeedback;15JO96;1;1;1;standard
153.49;ERPTags3Standard ERPFlashTag2D (1) ERPFlashTagFeedback;15JO96;1;1;1;standard
157.02;ERPTags4Standard ERPFlashTag2D (1) ERPFlashTagFeedback;15JO96;0;1;1;standard
157.44;ERPTags4Standard ERPFlashTag2D (1) ERPFlashTagFeedback;15JO96;0;1;1;standard
159.70;ERPTags4Standard ERPFlashTag2D (2) ERPFlashTagFeedback;15JO96;1;1;1;standard
165.80;ERPTags5Standard ERPFlashTag2D (3) ERPFlashTagFeedback;15JO96;1;1;1;standard
175.96;ERPTags6Standard ERPFlashTag2D (4) ERPFlashTagFeedback;15JO96;1;1;1;standard
181.65;ERPTags7Standard ERPFlashTag2D (2) ERPFlashTagFeedback;15JO96;1;1;1;standard
187.33;ERPTags8Standard ERPFlashTag2D (1) ERPFlashTagFeedback;15JO96;1;1;1;standard
209.47;ERPTags1Standard2 ERPFlashTag2D (3) ERPFlashTagFeedback;15JO96;1;2;1;standard
213.08;ERPTags2Standard2 ERPFlashTag2D (3) ERPFlashTagFeedback;15JO96;0;2;1;standard
217.47;ERPTags2Standard2 ERPFlashTag2D (1) ERPFlashTagFeedback;15JO96;1;2;1;standard
223.83;ERPTags3Standard2 ERPFlashTag2D (2) ERPFlashTagFeedback;15JO96;1;2;1;standard
227.40;ERPTags4Standard2 ERPFlashTag2D (2) ERPFlashTagFeedback;15JO96;0;2;1;standard
228.11;ERPTags4Standard2 ERPFlashTag2D (2) ERPFlashTagFeedback;15JO96;0;2;1;standard
234.53;ERPTags4Standard2 ERPFlashTag2D (4) ERPFlashTagFeedback;15JO96;1;2;1;standard
243.69;ERPTags5Standard2 ERPFlashTag2D (2) ERPFlashTagFeedback;15JO96;1;2;1;standard
249.39;ERPTags6Standard2 ERPFlashTag2D (3) ERPFlashTagFeedback;15JO96;1;2;1;standard
252.92;ERPTags7Standard2 ERPFlashTag2D (3) ERPFlashTagFeedback;15JO96;0;2;1;standard
256.21;ERPTags7Standard2 ERPFlashTag2D (4) ERPFlashTagFeedback;15JO96;1;2;1;standard
262.61;ERPTags8Standard2 ERPFlashTag2D (1) ERPFlashTagFeedback;15JO96;1;2;1;standard
280.69;ERPTags1Standard3 ERPFlashTag2D (1) ERPFlashTagFeedback;15JO96;1;3;1;standard
284.22;ERPTags2Standard3 ERPFlashTag2D (1) ERPFlashTagFeedback;15JO96;0;3;1;standard
286.47;ERPTags2Standard3 ERPFlashTag2D (3) ERPFlashTagFeedback;15JO96;1;3;1;standard
292.74;ERPTags3Standard3 ERPFlashTag2D (2) ERPFlashTagFeedback;15JO96;0;3;1;standard
293.39;ERPTags3Standard3 ERPFlashTag2D (2) ERPFlashTagFeedback;15JO96;0;3;1;standard
295.95;ERPTags3Standard3 ERPFlashTag2D (4) ERPFlashTagFeedback;15JO96;1;3;1;standard
303.84;ERPTags4Standard3 ERPFlashTag2D (2) ERPFlashTagFeedback;15JO96;1;3;1;standard
307.42;ERPTags5Standard3 ERPFlashTag2D (2) ERPFlashTagFeedback;15JO96;0;3;1;standard
309.38;ERPTags5Standard3 ERPFlashTag2D (1) ERPFlashTagFeedback;15JO96;1;3;1;standard
312.90;ERPTags6Standard3 ERPFlashTag2D (1) ERPFlashTagFeedback;15JO96;0;3;1;standard
316.92;ERPTags6Standard3 ERPFlashTag2D (4) ERPFlashTagFeedback;15JO96;1;3;1;standard
321.20;ERPTags7Standard3 ERPFlashTag2D (4) ERPFlashTagFeedback;15JO96;0;3;1;standard
323.50;ERPTags7Standard3 ERPFlashTag2D (3) ERPFlashTagFeedback;15JO96;1;3;1;standard
327.08;ERPTags8Standard3 ERPFlashTag2D (3) ERPFlashTagFeedback;15JO96;0;3;1;standard
331.36;ERPTags8Standard3 ERPFlashTag2D (2) ERPFlashTagFeedback;15JO96;1;3;1;standard
