Timestamp;ObjectName;ID ;correct;scene ;PlaceInOrder;condition 
383.13;ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback;28CO38;1;2;1;gamified
386.80;ERPTagsW 2 ERPFlashTag2D (2) ERPFlashTagFeedback;28CO38;0;2;1;gamified
390.67;ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback;28CO38;1;2;1;gamified
395.77;ERPTagsW 3 ERPFlashTag2D (3) ERPFlashTagFeedback;28CO38;0;2;1;gamified
397.03;ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback;28CO38;1;2;1;gamified
403.90;ERPTagsW 4 ERPFlashTag2D (4) ERPFlashTagFeedback;28CO38;1;2;1;gamified
410.51;ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback;28CO38;1;2;1;gamified
416.29;ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback;28CO38;1;2;1;gamified
419.35;ERPTagsW 7 ERPFlashTag2D (2) ERPFlashTagFeedback;28CO38;0;2;1;gamified
419.73;ERPTagsW 7 ERPFlashTag2D (2) ERPFlashTagFeedback;28CO38;0;2;1;gamified
420.00;ERPTagsW 7 ERPFlashTag2D (2) ERPFlashTagFeedback;28CO38;0;2;1;gamified
427.12;ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback;28CO38;1;2;1;gamified
