Timestamp;ObjectName;ID;correct;scene;PlaceInOrder;condition 
359.97;ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback;17HE69;1;2;1;gamified
365.08;ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback;17HE69;1;2;1;gamified
370.81;ERPTagsW 3 ERPFlashTag2D (4) ERPFlashTagFeedback;17HE69;0;2;1;gamified
372.40;ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback;17HE69;1;2;1;gamified
380.32;ERPTagsW 4 ERPFlashTag2D (4) ERPFlashTagFeedback;17HE69;1;2;1;gamified
386.69;ERPTagsW 5 ERPFlashTag2D (2) ERPFlashTagFeedback;17HE69;0;2;1;gamified
387.34;ERPTagsW 5 ERPFlashTag2D (2) ERPFlashTagFeedback;17HE69;0;2;1;gamified
388.73;ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback;17HE69;1;2;1;gamified
398.54;ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback;17HE69;1;2;1;gamified
409.88;ERPTagsW 7 ERPFlashTag2D (3) ERPFlashTagFeedback;17HE69;1;2;1;gamified
417.32;ERPTagsW 8 ERPFlashTag2D (2) ERPFlashTagFeedback;17HE69;0;2;1;gamified
419.71;ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback;17HE69;1;2;1;gamified
