ID,scene,SceneAccuracy,PlaceInOrder,condition
02JO85,1,0.7272727272727273,1,gamified
02JO85,2,0.7272727272727273,1,gamified
02JO85,3,0.7272727272727273,1,gamified
07az26,1,0.6153846153846154,1,gamified
07az26,2,1.0,1,gamified
07az26,3,0.8,1,gamified
08MA21,1,0.5384615384615384,2,gamified
08MA21,2,0.7272727272727273,2,gamified
08MA21,3,1.0,2,gamified
09HA13,1,0.8888888888888888,1,gamified
09HA13,2,0.6666666666666666,1,gamified
09HA13,3,0.8,1,gamified
10PE77,1,0.5333333333333333,1,gamified
10PE77,2,0.8,1,gamified
10PE77,3,0.8888888888888888,1,gamified
11LK66,1,0.6666666666666666,2,gamified
11LK66,2,0.8,2,gamified
11LK66,3,0.8888888888888888,2,gamified
15JO96,1,0.5714285714285714,2,gamified
15JO96,2,0.7272727272727273,2,gamified
15JO96,3,0.6153846153846154,2,gamified
17BE17,1,0.42857142857142855,2,gamified
17BE17,2,1.0,2,gamified
17BE17,3,0.5,2,gamified
17HE69,1,0.8888888888888888,1,gamified
17HE69,2,0.7272727272727273,1,gamified
17HE69,3,0.8,1,gamified
19RA95,1,0.5,1,gamified
19RA95,2,0.7,1,gamified
19RA95,3,0.5,1,gamified
21EL67,1,0.5,2,gamified
21EL67,2,0.8888888888888888,2,gamified
21EL67,3,0.8,2,gamified
27JA04,1,0.5,1,gamified
27JA04,2,0.8888888888888888,1,gamified
27JA04,3,0.7777777777777778,1,gamified
28CO38,1,0.7272727272727273,1,gamified
28CO38,2,0.7,1,gamified
28CO38,3,1.0,1,gamified
29MA29,1,1.0,2,gamified
29MA29,2,1.0,2,gamified
29MA29,3,0.8888888888888888,2,gamified
2BR68,1,0.7272727272727273,2,gamified
2BR68,2,0.7272727272727273,2,gamified
2BR68,3,0.6666666666666666,2,gamified
2MA07,1,0.5384615384615384,2,gamified
2MA07,2,1.0,2,gamified
2MA07,3,0.8,2,gamified
