condition,ID,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,preference,justification
g,28CO38,4,3,4,4,4,4,1,3,1,4,2,4,1,4,4,1,4,3,2,4,4,1,1,1,4,1,4,3,1,3,1,1,2,1,1,1,1,4,1,3,3,1,1,1,1,1,1,1,2,2,999,nan
s,29MA29,3,4,4,5,4,5,1,2,2,4,2,3,2,4,4,2,4,4,5,5,3,1,2,1,2,4,5,5,2,5,4,3,4,3,1,1,1,4,1,4,4,2,1,1,3,2,1,1,3,3,999,nan
g,19RA95,4,4,4,4,4,4,1,3,1,4,1,3,2,4,4,1,4,4,4,4,4,2,2,1,1,2,3,4,2,4,2,1,1,1,1,1,1,4,1,4,3,1,1,1,3,1,1,1,4,4,999,nan
s,08MA21,5,4,1,4,5,4,1,3,2,4,1,3,4,4,4,1,5,1,3,4,4,1,3,1,4,3,5,4,1,3,4,3,2,1,1,1,1,4,1,1,5,1,2,2,4,2,1,1,4,1,999,nan
g,17HE69,4,4,4,5,4,4,1,3,2,3,2,2,4,3,4,1,4,1,2,4,4,2,4,2,4,4,3,4,2,4,4,1,4,2,1,2,4,3,1,3,3,1,1,2,4,2,3,2,3,3,999,nan
s,2BR68,3,3,4,3,2,3,2,3,2,3,1,2,1,3,3,2,2,2,2,3,2,2,3,2,1,1,3,3,1,1,1,1,1,2,1,1,1,1,2,3,3,3,2,3,2,2,1,1,2,1,999,nan
g,02JO85,5,5,5,5,5,5,1,2,1,5,1,2,3,5,5,1,5,1,1,5,5,1,1,1,5,5,5,4,1,4,4,1,1,3,1,1,1,5,1,5,5,1,1,1,5,1,1,1,5,2,999,nan
s,17BE17,2,4,1,4,4,2,1,3,3,5,1,1,2,3,5,1,3,2,1,2,5,1,1,1,1,1,3,3,1,2,2,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,1,999,nan
g,09HA13,4,5,5,5,5,5,1,2,1,5,1,5,5,5,5,1,5,4,4,5,5,1,2,1,5,2,5,5,1,5,5,4,2,4,1,1,1,5,1,5,5,1,1,1,5,1,1,1,5,3,999,nan
s,21EL67,5,5,2,5,4,5,1,2,1,5,1,5,2,5,5,1,5,2,2,5,5,1,2,1,1,1,4,4,1,3,2,1,1,2,1,1,1,3,1,3,5,1,1,1,5,1,1,1,5,2,999,nan
g,27JA04,4,4,5,5,5,3,1,2,3,5,1,3,2,2,4,1,5,4,1,5,3,1,1,1,1,5,5,5,1,4,2,2,4,1,1,1,1,5,1,2,4,1,1,1,3,1,1,1,3,3,999,nan
s,15JO96,3,3,1,2,4,3,1,1,2,3,1,3,2,3,4,2,3,1,1,2,3,1,1,1,1,2,3,4,1,1,2,1,1,1,1,1,1,2,1,1,3,1,1,2,2,1,1,1,1,1,999,nan
g,10PE77,4,5,4,4,4,4,1,1,1,4,1,4,4,4,4,3,4,2,2,4,5,1,1,1,3,2,4,4,1,3,4,1,1,3,1,1,1,4,1,4,4,2,1,1,4,1,1,1,4,2,999,nan
s,2MA07,4,4,3,2,4,3,1,2,4,4,4,2,1,3,4,3,3,3,2,3,4,2,3,2,4,4,3,4,2,2,4,2,4,4,2,1,2,3,1,4,4,1,2,1,3,2,1,1,4,4,999,nan
g,07az26,5,5,5,5,5,5,1,4,1,4,1,5,3,5,4,1,5,4,4,5,4,1,3,1,4,5,5,4,1,5,3,5,2,2,1,1,1,4,1,5,5,2,5,2,4,3,1,1,4,5,999,nan
s,11LK66,4,5,2,3,4,3,1,2,1,5,1,2,2,2,4,1,4,1,1,3,4,1,1,1,2,1,1,4,1,1,2,1,1,1,1,1,1,4,1,2,2,1,1,1,1,1,1,1,2,1,999,nan
